"MacroTrends Data Download"
"GOOGL - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
2005-11-07,9.809,9.8718,9.7397,9.8112,9503925
2005-11-08,9.7918,9.8251,9.651,9.6838,7834933
2005-11-09,9.6036,9.6438,9.3891,9.4168,10379594
2005-11-10,9.3972,9.7198,9.3741,9.7136,9049371
2005-11-11,9.8134,9.8576,9.6577,9.6962,7008452
2005-11-14,9.7415,9.8904,9.7243,9.8594,7687493
2005-11-15,9.795,9.8601,9.7099,9.7558,8560257
2005-11-16,9.8403,9.9061,9.7885,9.8887,8626887
2005-11-17,9.9793,10.0292,9.9229,10.0203,9135486
2005-11-18,10.0213,10.0463,9.9309,9.9398,6970074
2005-11-21,9.914,10.1825,9.7729,10.1671,10225880
2005-11-22,10.1495,10.3646,10.0894,10.3437,9522577
2005-11-23,10.3579,10.5486,10.3266,10.5024,10002084
2005-11-25,10.5749,10.6486,10.5629,10.6454,4803704
2005-11-28,10.6825,10.7105,10.492,10.5178,10920788
2005-11-29,10.5421,10.5903,9.9877,10.0225,21323187
2005-11-30,10.0404,10.1446,9.8243,10.0566,15454877
2005-12-01,10.1607,10.3181,10.1405,10.2846,9671622
2005-12-02,10.3553,10.4197,10.2788,10.3742,7484610
2005-12-05,10.3568,10.3692,10.0409,10.0799,10217429
2005-12-06,10.1507,10.3422,9.9769,10.0474,14982694
2005-12-07,10.0888,10.101,9.91,10.0394,11512146
2005-12-08,10.0664,10.1991,10.0002,10.1991,8830891
2005-12-09,10.3072,10.3265,10.1472,10.1631,7582556
2005-12-12,10.298,10.3124,10.1818,10.2479,6896753
2005-12-13,10.2451,10.3817,10.2237,10.369,8095557
2005-12-14,10.3578,10.4246,10.3193,10.4055,6580532
2005-12-15,10.4093,10.5094,10.3444,10.4942,5987531
2005-12-16,10.5639,10.7418,10.4996,10.6834,16147188
2005-12-19,10.7344,11.0823,10.4341,10.5456,21778097
2005-12-20,10.6276,10.7343,10.5473,10.6733,10009020
2005-12-21,10.7679,10.8501,10.449,10.5886,11134540
2005-12-22,10.7235,10.7508,10.5786,10.7304,7488073
2005-12-23,10.7331,10.7418,10.6494,10.7028,4553803
2005-12-27,10.7259,10.7259,10.4999,10.5466,6650132
2005-12-28,10.5392,10.6246,10.4626,10.5975,7063472
2005-12-29,10.6308,10.6482,10.4109,10.4351,6893021
2005-12-30,10.3636,10.3869,10.2759,10.3037,7531032
2006-01-03,10.4939,10.8205,10.3871,10.8096,12970817
2006-01-04,11.0249,11.1506,10.9218,11.0582,15167460
2006-01-05,11.0771,11.2149,10.9653,11.2072,10721403
2006-01-06,11.3491,11.6856,11.2569,11.5654,17622861
2006-01-09,11.584,11.7578,11.4482,11.5962,12692709
2006-01-10,11.5346,11.6795,11.4755,11.6672,9028542
2006-01-11,11.7092,11.8001,11.6529,11.7138,8937921
2006-01-12,11.7659,11.7971,11.4621,11.5151,10046740
2006-01-13,11.5318,11.5959,11.4648,11.58,7598028
2006-01-17,11.5008,11.6707,11.4876,11.6014,8165808
2006-01-18,11.1094,11.3592,11.0088,11.05,20357318
2006-01-19,11.1998,11.2632,10.7543,10.8398,14426766
2006-01-20,10.8958,10.9288,9.8041,9.9212,40830014
2006-01-23,10.1246,10.6397,10.0769,10.6176,22559735
2006-01-24,10.8461,11.051,10.7909,11.0033,15344116
2006-01-25,11.2175,11.2815,10.6603,10.7542,18594615
2006-01-26,10.9166,10.9278,10.5198,10.7856,12821555
2006-01-27,10.8007,10.8839,10.6544,10.7664,8380258
2006-01-30,10.6606,10.7611,10.5555,10.6007,8520473
2006-01-31,10.7011,10.9182,10.5301,10.7458,20984632
2006-02-01,9.6711,9.9843,9.6246,9.9788,26917894
2006-02-02,10.0362,10.0961,9.8348,9.8363,11710421
2006-02-03,9.7762,9.7831,9.2534,9.4765,18140283
2006-02-06,9.5698,9.6838,9.427,9.5646,8873191
2006-02-07,9.5122,9.5298,9.0242,9.1379,16499667
2006-02-08,9.1621,9.2067,8.8088,9.1667,20643794
2006-02-09,9.2193,9.2988,8.8445,8.9106,11815488
2006-02-10,8.9898,9.0529,8.7708,9.006,15019793
2006-02-13,8.5997,8.7078,8.4914,8.586,19536536
2006-02-14,8.5768,8.7348,8.5042,8.5269,14541527
2006-02-15,8.4759,8.5934,8.3906,8.5035,12690243
2006-02-16,8.5852,9.1151,8.5559,9.1016,21151963
2006-02-17,9.1915,9.2427,9.0311,9.1585,14197686
2006-02-21,9.1011,9.2774,9.068,9.1048,8614325
2006-02-22,9.1189,9.1634,9.037,9.0775,6426953
2006-02-23,9.0805,9.4687,9.0751,9.39,12453210
2006-02-24,9.3708,9.4396,9.2761,9.3734,6434553
2006-02-27,9.4695,9.7285,9.4449,9.6956,10142011
2006-02-28,9.7657,9.8735,8.4074,9.0062,39132222
2006-03-01,9.1538,9.1759,8.9735,9.0604,11961898
2006-03-02,9.0474,9.4651,8.9957,9.3498,18168070
2006-03-03,9.5447,9.6177,9.3326,9.3927,11870720
2006-03-06,9.4605,9.5224,9.1185,9.1425,8865724
2006-03-07,9.0659,9.151,8.8952,9.0517,9971026
2006-03-08,8.7905,8.9419,8.7063,8.7892,11615613
2006-03-09,8.8267,8.9047,8.4817,8.519,13797761
2006-03-10,8.5318,8.5562,8.2345,8.3823,19178862
2006-03-13,8.4675,8.5959,8.3314,8.3714,13538258
2006-03-14,8.3735,8.7517,8.2611,8.7216,18309517
2006-03-15,8.7119,8.75,8.4576,8.5562,12672993
2006-03-16,8.6583,8.6618,8.3923,8.4139,9932453
2006-03-17,8.4146,8.4886,8.3185,8.4392,8482299
2006-03-20,8.5025,8.695,8.4826,8.6478,10328382
2006-03-21,8.693,8.734,8.4215,8.4424,9743607
2006-03-22,8.4382,8.5463,8.3823,8.4499,7538884
2006-03-23,8.5028,8.5873,8.4495,8.4914,6721850
2006-03-24,9.1547,9.1917,9.0035,9.0852,15019404
2006-03-27,9.1172,9.232,9.0653,9.1818,6968155
